name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
100% NATURAL ESSENTIAL OIL CYPRESS ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cupressus Sempervirens Leaf/ Nut/Stem Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL GINGER ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Zingiber Officinale Root Oil* Org, Citral**, Geraniol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL GRAND FIR ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Abies Alba Leaf Oil* Org, Limonene**, Citronellol**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL HYSSOP ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Hyssopus Officinalis Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL JUNIPER BERRY ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Juniperus Communis Fruit Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL JUNIPER ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Juniperus Communis Fruit Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL LAVANDIN DEMETER,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Lavandula Hybrida Oil* Org, Geraniol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL LAVENDER FINE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Lavandula Angustifolia (Lavender) Oil* Org, Geraniol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL LEMONGRASS ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cymbopogon Flexuosus Oil* Org, Citral**, Geraniol**, Citronellol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL LEMON ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Limon (Lemon) Peel Oil* Org, Citral**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL LITSEA ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Litsea Cubeba Fruit Oil* Org, Citral**, Geraniol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MANDARIN GREEN ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Reticulata Peel Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MANDARIN RED ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Reticulata Peel Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MARJORAM ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Origanum Majorana Leaf Oil* Org, Limonene**, Linalool**
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MELISSA ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Melissa Officinalis Flower/Leaf/ Stem Oil* Org, Citral**, Geraniol**, Citronellol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MELISSA ORG. 30%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Lavandula Angustifolia (Lavender) Oil* Org, Melissa Officinalis Flower/Leaf/Stem Oil* Org, Citral**, Geraniol**, Citronellol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MINT MOROCCAN ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Mentha Viridis (Spearmint) Leaf Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MOUNTAIN PINE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Pinus Mugo Leaf Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MYRTLE PERU ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Myrtus Communis Oil* Org, Citronellol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL MYRTLE TURKISH ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Myrtus Communis Oil* Org, Citronellol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL NEROLI ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Aurantium Amara (Bitter Orange) Flower Oil* Org, Geraniol**, Farnesol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL NIAULI ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Melaleuca Viridiflora Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ORANGE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Aurantium Dulcis (Orange) Peel Oil* Org, Citral**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ORIGANUM ORG. 31%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Alcohol* Org, Origanum Vulgare Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL PALMAROSA ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cymbopogon Martini Oil* Org, Citral**, Geraniol**, Farnesol**, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL PATCHOULI ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Pogostemon Cablin Oil* Org
*of controlled biological cultivation",,,,
100% NATURAL ESSENTIAL OIL PEPPER BLACK ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Piper Nigrum (Pepper) Fruit Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL PETIT GRAIN ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Citrus Aurantium Amara (Bitter Orange) Leaf/ Twig Oil* Org, Citral**, Geraniol**, Limonene**, Linalool**
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL PINE NEEDLE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Pinus Sylvestris Leaf Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL RAVINTSARA ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cinnamomum Camphora Branch/ Stem Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ROSEMARY CAMPHOR ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Rosmarinus Officinalis (Rosemary) Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ROSEMARY CINEOL ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Rosmarinus Officinalis (Rosemary) Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ROSE BULGARIAN ORG. 10%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Alcohol* Org, Rosa Damascena Flower Oil* Org, Citral**, Eugenol**, Geraniol**, Citronellol**, Farnesol**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ROSE PERSIAN ORG. 10%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Alcohol* Org, Rosa Damascena Flower Oil* Org, Citral**, Eugenol**, Geraniol**, Citronellol**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ROSE TURKISH ORG. 10%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Alcohol* Org, Rosa Damascena Flower Oil, Citral**, Eugenol**, Geraniol**, Citronellol**, Farnesol**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL SAGE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Salvia Officinalis (Sage) Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL SILVER FIR ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Abies Alba Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL SPEARMINT ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Mentha Viridis (Spearmint) Leaf Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL SPIKENARD ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Nardostachys Jatamansi Root Oil* Org
*of controlled biological cultivation",,,,
100% NATURAL ESSENTIAL OIL SPIKE LAVENDER ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Lavandula Spica Flower Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL ST. JOHNSWORT ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Hypericum Perforatum Flower Extract* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL SWISS PINE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Pinus Cembra Leaf/Twig Oil* Org, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL TEA TREE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Melaleuca Alternifolia (Tea Tree) Leaf Oil, Limonene**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL THYME LINALOL ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Thymus Vulgaris (Thyme) Flower/ Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL THYME THYMOL ORG. 19%,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Thymus Vulgaris (Thyme) Flower/ Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL THYME TURKISH ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Thymus Serpillum Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL VETIVER ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.",Vetiveria Zizanoides Root Oil* Org,,,,
100% NATURAL ESSENTIAL OIL YARROW ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Achillea Millefolium Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL YLANG EXTRA SUPERIOR ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cananga Odorata Flower Oil* Org, Benzyl Salicylate**, Eugenol**, Geraniol**, Benzyl Benzoate**, Farnesol**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
100% NATURAL ESSENTIAL OIL YLANG - YLANG COMPLETE ORG.,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Cananga Odorata Flower Oil* Org, Benzyl Salicylate**, Eugenol**, Geraniol**, Benzyl Benzoate**, Farnesol**, Linalool**
*of controlled biological cultivation 
** from natural essential oils",,,,
ANTI-AGING HANDCREME ALPENROSEN&ARGANÖL,I am natural cosmetics,Mibelle AG Cosmetics,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Glycerin, Helianthus Annuus Hybrid Oil*, Butyrospermum Parkii Butter*, Cetearyl Alcohol, Glyceryl Stearate Citrate, Distarch Phosphate, Orbignya Oleifera Seed Oil, Argania Spinosa Kernel Oil, Malus Domestica Fruit Water*, Myristyl Myristate, Microcrystalline Cellulose, Glyceryl Stearate, Sodium Benzoate, Xanthan Gum, Parfum**, Calcium Alginate, Citric Acid, Rhododendron Ferrugineum Extract*, Limonene**, Linalool**, Geraniol**, Citronellol**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils
       Preserved with sodium benzoate.",,,,
ANTI-AGING NACHTCREME ALPENROSEN&ARGANÖL,I am natural cosmetics,Mibelle AG Cosmetics,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Helianthus Annuus Hybrid Oil*, Butyrospermum Parkii Butter*, Glycerin, Caprylic/Capric Triglyceride, Orbignya Oleifera Seed Oil, Cetearyl Alcohol, Glyceryl Stearate Citrate, Distarch Phosphate, Argania Spinosa Kernel Oil*, Myristyl Myristate, 3-O-Ethyl Ascorbic Acid, Rhododendron Ferrugineum Extract*, Glycerin*, Xanthan Gum, Glyceryl Stearate, Sodium Citrate, Parfum**, Linalool**, Limonene**, Citral**, Levulinic Acid, Sodium Levulinate, Caprylyl Glycol, Caprylhydroxamic Acid. 
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
ANTI-AGING TAGESCREME ALPENROSEN&ARGANÖL,I am natural cosmetics,Mibelle AG Cosmetics,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Glycerin, Helianthus Annuus Hybrid Oil*, Butyrospermum Parkii Butter*, Cetearyl Alcohol, Glyceryl Stearate Citrate, Orbignya Oleifera Seed Oil, Distarch Phosphate, Argania Spinosa Kernel Oil*, Myristyl Myristate, 3-O-Ethyl Ascorbic Acid, Rhododendron Ferrugineum Extract*, Glycerin*, Xanthan Gum, Glyceryl Stearate, Sodium Citrate, Parfum**, Linalool**, Limonene**, Citral**, Levulinic Acid, Sodium Levulinate, Caprylyl Glycol, Caprylhydroxamic Acid.
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
BABY UNSCENTED BAR SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sodium Cocoate (Saponified Coconut Oil*‡), Sodium Palmate (Saponified Palm Oil*‡), Aqua, Glycerin,* Sodium Olivate (Saponified Olive Oil*‡), Cannabis Sativa Seed Oil (Hemp Oil*), Simmondsia Chinensis Seed Oil (Jojoba Oil*), Maris Sal (Sea Salt), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil)
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ From Natural Essential Oils",,,,
BABY UNSCENTED ORGANIC PUMP SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Sucrose (Cane Sugar*‡), Vitis Vinifera Juice (White Grape Juice*), Potassium Cocoate (Saponified Coconut Oil*‡), Potassium Palm Kernelate (Saponified Palm Kernel Oil*‡), Potassium Olivate (Saponified Olive Oil*‡), Potassium Hempate (Saponified Hemp Oil*), Potassium Jojobate (Saponified Jojoba Oil*), Glycerin*, Acacia Concinna Fruit Powder (Shikakai Powder*), Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil ( Sunflower Seed Oil)
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients",,,,
CITRUS HAIR RINSE,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Organic Lemon Juice, Organic Shikakai Powder, Organic Lemon Oil, Organic Orange Oil, Organic Coconut Oil*, Organic Palm Kernel Oil*, Organic Olive Oil*, Organic Hemp Oil, Organic Jojoba Oil, Potassium Hydroxide**, Citric Acid, Tocopherol
     *CERTIFIED FAIR TRADE INGREDIENTS
   **None remains after saponifying oils into soap & glycerin.",,,,
CITRUS LIQUID SOAP,Dr. Bronner's,Dr. Bronner's Magic Soaps,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Potassium Cocoate (Saponified Coconut Oil*‡), Potassium Palm Kernelate (Saponified Palm Kernel Oil*‡), Potassium Olivate (Saponified Olive Oil*‡), Glycerin*, Limonene♢, Citrus Aurantium Dulcis (Orange) Peel oil*, Potassium Hempseedate (Saponified Hemp Oil*), Potassium Jojobate (Saponified Jojoba Oil*), Citrus Limon (Lemon) Peel Oil*, Citrus Aurantifolia (Lime) oil*, Citric Acid, Tocopherol (Vitamin E), Helianthus Annuus Seed Oil (Sunflower Oil), Citral♢
      * Certified Organic Ingredients
     ‡ Certified Fair Trade Ingredients
     ◊ FromNatural Essential Oils",,,,
CLEANSING GEL,Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Pyrus Malus Fruit Juice*, Sodium Lactate, Alcohol*, Lauryl Glucoside, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate, Xanthan Gum, Chondrus Crispus Powder, Glyceryl Caprylate, Sodium Phytate, Levulinic Acid, P-Anisic Acid, Glycerin, Sodium Levulinate, Sodium Hydroxide, Lactic Acid, Aroma**.
     * Certified organic
   ** Natural apricot scent",,,,
CREAM LIGHT,Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Prunus Amygdalus Dulcis Oil*, Alcohol*, Persea Gratissima Oil*, Isoamyl Laurate, Glyceryl Stearate, Pyrus Malus Fruit Extract*, Butyrospermum Parkii Butter*, Cocos Nucifera Oil*, Hydroxystearyl Alcohol, Hydroxystearyl Glucoside, Squalane, Sodium Hyaluronate, Theobroma Cacao Seed Butter*, Glycerin, Xanthan Gum, Tocopherol, Helianthus Annuus Seed Oil*, Ascorbyl Palmitate, Levulinic Acid, Sodium Levulinate, P-Anisic Acid, Sodium Hydroxide, Parfum**, Limonene, Linalool, Citronellol, Geraniol, Citral, Benzyl Benzoate, Coumarin.
     * Certified organic
   ** Natural essential oils",,,,
"CREAM RICH, OHNE DUFT",Santaverde,Santaverde GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aloe Barbadensis Leaf Juice*, Sesamum Indicum Seed Oil*, Cocos Nucifera Oil*, Prunus Amygdalus Dulcis Oil*, Cetearyl Alcohol, Butyrospermum Parkii Butter*, Alcohol*, Myristyl Alcohol, Hippophae Rhamnoides Fruit Extract*, Sodium Lactate, Glyceryl Stearate SE, Oenothera Biennis Oil*, Argania Spinosa Kernel Oil*, Sodium Cetearyl Sulfate, Tocopherol, Helianthus Annuus Seed Oil*, Ascorbyl Palmitate, Levulinic Acid, Glycerin, P-Anisic Acid, Sodium Levulinate, Sodium Hydroxide.
     * Certified organic",,,,
DEO ROLL-ON FRESH BIO-MINZE & BIO-BERGAMOTTE,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Alcohol* denat., Triethyl Citrate, Glycerin, Glyceryl Caprylate, Xanthan Gum, Levulinic Acid, Sodium Levulinate, Sodium Stearoyl Glutamate, Propanediol, Lactic Acid, Mentha Piperita Leaf Extract*, Citrus Aurantium Bergamia Fruit Extract*, Equisetum Arvense Extract, Salvia Officinalis Oil, Parfum**, Limonene**, Linalool**, Citral**
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
DEO ROLL ON LIMETTE & SALBEI,I am natural cosmetics,Mibelle AG Cosmetics,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Alcohol, Aqua, Glycerin, Polyglyceryl-4 Caprate, Triethyl Citrate, Sodium Caproyl/Lauroyl Lactylate, Lauryl Glucoside, Salvia O_cinalis Oil, Salvia Officinalis Leaf Extract, Citrus Aurantifolia Fruit Extract, Diethyl Citrate, Monoethyl Citrate, Citric Acid, Parfum**, Limonene**, Linalool**, Citral**, Geraniol**, Citronellol**.
   ** from natural essential oils",,,,
DUSCHPEELING DETOX & ENERGY,I am natural cosmetics,Mibelle AG Cosmetics,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Alcohol, Decyl Glucoside, Coco-Glucoside, Bambusa Arundinacea Stem Extract, Corylus Avellana Shell Powder, Xanthan Gum, Glyceryl Oleate, Cupressus Sempervirens Oil, Citrus Limon Peel Oil*, Camellia Sinensis Leaf Extract*, Citrus Aurantifolia Fruit Extract, Glyceryl Caprylate, Glycerin, Hydrogenated Palm Glycerides Citrate, Tocopherol, Citric Acid, Parfum**, Limonene**, Linalool**, Citral**.
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
